clip_id,provider,human_label
sim-insurance-claim-p01-t03-incident_date,speechmatics-enhanced,
sim-job-application-p05-t06-reference_code,elevenlabs-scribe2,
sim-job-application-p01-t05-start_date,google-chirp3,
lowsnr-7a836f75-b381-71e0-572a-0452aabf4560,speechmatics-standard,
trailsil-645f73ef-3f8a-d982-622e-8a08408b616c,elevenlabs-scribe2,
sim-insurance-claim-p07-t06-rooms_affected,google-chirp3,
trailsil-2c1a8914-0c6f-5747-c62f-b97583970a9d,elevenlabs-scribe2,
7f99dd00-988a-23b8-7aa2-558528b6740b,xai-grok-stt,
trailsil-13b96bda-c9b7-3734-c0e3-f4d125c71b32,speechmatics-standard,
trailsil-ccd031a0-b2a7-8693-c226-00105fbb37d2,elevenlabs-scribe2,
04466e04-72b1-5d62-aef9-6671364ef519,apple-speech-stt,
lowsnr-11dbb0a3-60bd-4462-d590-a9ac3ecfb5ea,speechmatics-standard,
2188f761-92ba-8373-53bd-2b5924b2e605,cartesia-ink2,
lowsnr-16a94355-1197-cc13-2aaa-0c90a4273381,elevenlabs-scribe2,
f9581f58-ab64-4a6a-b049-32b720cd19f7,cartesia-ink2,
93784921-0769-176f-9403-6866c4a3199e,deepgram-flux,
58fff51b-267b-de9a-9d5b-0a14173a80f8,apple-speech-stt,
lowsnr-50a87d25-c3c5-d210-0e47-39c0c8c2f66f,speechmatics-standard,
58fff51b-267b-de9a-9d5b-0a14173a80f8,deepgram-flux,
356d3518-21f9-a281-9ed9-fa950f81d8fc,cartesia-ink2,
356d3518-21f9-a281-9ed9-fa950f81d8fc,deepgram-flux,
trailsil-87b044ea-0a6d-e2ec-49d5-5b8462ad6c40,deepgram-nova3,
62181c68-8a2c-6969-f4cd-633ea1bf9df9,xai-grok-stt,
snr-05-cb019196-5aa2-654b-1134-170c40b56bb6,soniox-rt-v5,
trailsil-90827444-599c-0a4b-d1b6-0ca6590f8e0d,speechmatics-standard,
62181c68-8a2c-6969-f4cd-633ea1bf9df9,cartesia-ink2,
ce8aae13-d3b1-7bfd-17e2-8804bbd7f34e,cartesia-ink2,
snr-05-7a836f75-b381-71e0-572a-0452aabf4560,speechmatics-enhanced,
trailsil-45908b00-1728-3f5b-9081-1ef9609cc976,deepgram-nova3,
sim-insurance-claim-p02-t04-damage_estimate,soniox-rt-v5,
trailsil-7b1c12ab-fa3e-739e-7792-6766e803968a,soniox-rt-v5,
830ff8f9-96f4-ee1f-f640-d0b87f18e66c,apple-speech-stt,
1f557247-3d6e-9deb-31fc-ded87377d33b,deepgram-flux,
snr+00-4040841f-bce4-2cac-a03c-e496e95f8c58,assemblyai-universal35pro,
trailsil-759e278d-2d5f-dd75-9738-ec0555bbcfb1,elevenlabs-scribe2,
snr+20-ee5c35d5-ae36-1f17-1486-333e90398997,assemblyai-universal35pro,
sim-job-application-p02-t07-team_size,google-chirp3,
3f5dbd72-7127-c4c4-a4ec-8c4278fd8e4b,deepgram-flux,
b7b879c4-6579-ff70-0e01-2bb8115effa9,deepgram-flux,
ce8aae13-d3b1-7bfd-17e2-8804bbd7f34e,apple-speech-stt,
093e1e51-13b7-7d02-1e0d-4dc3f82b2352,xai-grok-stt,
trailsil-4946c229-7806-af10-839c-bb40cf35896d,soniox-rt-v5,
lowsnr-7abb01d2-9c19-2665-c6d4-e8a6af0482ad,soniox-rt-v5,
snr+05-45908b00-1728-3f5b-9081-1ef9609cc976,assemblyai-universal35pro,
lowsnr-ba91eab8-3074-c881-a627-2cf56038d65e,speechmatics-enhanced,
trailsil-7f3ff079-bd79-dc72-0dbc-6a9b55afa87b,elevenlabs-scribe2,
trailsil-14faa09c-975b-268f-1b3e-192cf1d74c13,speechmatics-enhanced,
d22bc734-8400-a460-6bd3-00a5660b2515,apple-speech-stt,
snr+00-25a14bf3-adef-70a1-8a00-01708eabe4e0,assemblyai-universal35pro,
545d2919-6153-7187-fc95-48ff62a7276c,xai-grok-stt,
snr+20-8b8005cb-5012-fe0a-02af-3b8c7598f86a,deepgram-nova3,
tel8k-2427d82b-728c-8ba3-a9c3-1c0d83c09b02,speechmatics-enhanced,
2d3bc042-48a3-7076-5590-8fb1cf313403,deepgram-flux,
snr+00-c7037748-0d90-c7bc-a6af-ac4975c029f5,assemblyai-universal35pro,
93784921-0769-176f-9403-6866c4a3199e,apple-speech-stt,
snr+00-60bf7039-1e6a-787c-a43c-2fe4e5003695,assemblyai-universal35pro,
sim-insurance-claim-p04-t00-policyholder,soniox-rt-v5,
trailsil-4040841f-bce4-2cac-a03c-e496e95f8c58,soniox-rt-v5,
58fff51b-267b-de9a-9d5b-0a14173a80f8,xai-grok-stt,
sim-insurance-claim-p02-t06-rooms_affected,google-chirp3,
356d3518-21f9-a281-9ed9-fa950f81d8fc,apple-speech-stt,
c4a76708-72f3-3167-29ea-b8d80190039f,xai-grok-stt,
aa390aa9-bc21-52a3-fda8-a80ea25bc4fa,xai-grok-stt,
sim-clinic-intake-p02-t05-copay_amount,assemblyai-universal35pro,
trailsil-16a94355-1197-cc13-2aaa-0c90a4273381,speechmatics-enhanced,
sim-clinic-intake-p07-t06-symptom_duration,deepgram-nova3,
