n,clip_path,session_id,language,duration,true_transcript
1,data/realdata/clips/df0dd382-0df7-4f82-abc2-48d80b0db759_20260626_171011/0117.wav,df0dd382-0df7-4f82-abc2-48d80b0db759_20260626_171011,en,6.268,
2,data/realdata/clips/bcff33ba-7651-49ad-9010-7c474e61204e_20260519_090401/0005.wav,bcff33ba-7651-49ad-9010-7c474e61204e_20260519_090401,ja,2.489,
3,data/realdata/clips/6af4b0f0-5195-4943-9697-041bf3ff0719_20260427_143937/0011.wav,6af4b0f0-5195-4943-9697-041bf3ff0719_20260427_143937,en,16.555,
4,data/realdata/clips/e23c200f-0678-443d-a396-d0120e231e68_20260508_055100/0012.wav,e23c200f-0678-443d-a396-d0120e231e68_20260508_055100,ja,9.119,
5,data/realdata/clips/d83c5534-6050-4c92-80e4-fe6ec80ffb98/0016.wav,d83c5534-6050-4c92-80e4-fe6ec80ffb98,en,21.722,
6,data/realdata/clips/e23c200f-0678-443d-a396-d0120e231e68_20260508_055100/0018.wav,e23c200f-0678-443d-a396-d0120e231e68_20260508_055100,ja,30.000,
7,data/realdata/clips/12cc3dab-a67c-4b32-85b0-0dfcb664abf1_20260420_153534/0022.wav,12cc3dab-a67c-4b32-85b0-0dfcb664abf1_20260420_153534,en,3.336,
8,data/realdata/clips/a86bfaeb-6468-473c-9552-156c091286f3_20260601_023720/0013.wav,a86bfaeb-6468-473c-9552-156c091286f3_20260601_023720,ja,3.249,
9,data/realdata/clips/cfcd3e5f-ffbb-412f-afff-c3a6988da229_20260417_200857/0004.wav,cfcd3e5f-ffbb-412f-afff-c3a6988da229_20260417_200857,en,8.158,
10,data/realdata/clips/55544c69-ee20-4037-adab-1140188bae86_20260603_013923/0019.wav,55544c69-ee20-4037-adab-1140188bae86_20260603_013923,ja,12.154,
11,data/realdata/clips/cfcd3e5f-ffbb-412f-afff-c3a6988da229_20260417_200857/0111.wav,cfcd3e5f-ffbb-412f-afff-c3a6988da229_20260417_200857,en,18.639,
12,data/realdata/clips/d4319a69-7b32-4081-b64c-fff305b63bac_20260423_014420/0002.wav,d4319a69-7b32-4081-b64c-fff305b63bac_20260423_014420,ja,18.247,
13,data/realdata/clips/9e8c7c95-9f39-4817-9f12-dbd055559318_20260612_095510/0122.wav,9e8c7c95-9f39-4817-9f12-dbd055559318_20260612_095510,en,2.693,
14,data/realdata/clips/18fbef90-1061-4ec4-9f58-2489849dbc68_20260219_084718/0000.wav,18fbef90-1061-4ec4-9f58-2489849dbc68_20260219_084718,ja,7.626,
15,data/realdata/clips/7e539220-a15e-43a9-a455-65df9b8cd5e0_20260609_024642/0080.wav,7e539220-a15e-43a9-a455-65df9b8cd5e0_20260609_024642,en,9.236,
16,data/realdata/clips/f083eab9-5edf-4c87-a8d2-928ae745f46f_20260421_090447/0021.wav,f083eab9-5edf-4c87-a8d2-928ae745f46f_20260421_090447,ja,11.990,
17,data/realdata/clips/63875e95-9857-47ec-933f-0a0b9473ddfc_20260417_222108/0057.wav,63875e95-9857-47ec-933f-0a0b9473ddfc_20260417_222108,en,24.564,
18,data/realdata/clips/55544c69-ee20-4037-adab-1140188bae86_20260603_013923/0007.wav,55544c69-ee20-4037-adab-1140188bae86_20260603_013923,ja,23.971,
19,data/realdata/clips/23bd26f9-5910-465d-9deb-7f666cd9d6d6_20260608_104129/0149.wav,23bd26f9-5910-465d-9deb-7f666cd9d6d6_20260608_104129,en,7.379,
20,data/realdata/clips/739f3e82-465f-45f0-9e8a-334dd0a1c7b2_20260507_095054/0006.wav,739f3e82-465f-45f0-9e8a-334dd0a1c7b2_20260507_095054,ja,4.153,
21,data/realdata/clips/d2d2bbba-86c5-4b9e-ade6-f7c2d3c10a89_20260612_090055/0032.wav,d2d2bbba-86c5-4b9e-ade6-f7c2d3c10a89_20260612_090055,en,10.462,
22,data/realdata/clips/a86bfaeb-6468-473c-9552-156c091286f3_20260601_023720/0010.wav,a86bfaeb-6468-473c-9552-156c091286f3_20260601_023720,ja,9.219,
23,data/realdata/clips/63875e95-9857-47ec-933f-0a0b9473ddfc_20260417_222108/0081.wav,63875e95-9857-47ec-933f-0a0b9473ddfc_20260417_222108,en,23.198,
24,data/realdata/clips/f083eab9-5edf-4c87-a8d2-928ae745f46f_20260421_090447/0006.wav,f083eab9-5edf-4c87-a8d2-928ae745f46f_20260421_090447,ja,29.976,
25,data/realdata/clips/12cc3dab-a67c-4b32-85b0-0dfcb664abf1_20260420_153534/0005.wav,12cc3dab-a67c-4b32-85b0-0dfcb664abf1_20260420_153534,en,3.801,
26,data/realdata/clips/d4319a69-7b32-4081-b64c-fff305b63bac_20260423_014420/0001.wav,d4319a69-7b32-4081-b64c-fff305b63bac_20260423_014420,ja,6.037,
27,data/realdata/clips/d83c5534-6050-4c92-80e4-fe6ec80ffb98/0051.wav,d83c5534-6050-4c92-80e4-fe6ec80ffb98,en,9.279,
28,data/realdata/clips/630f36b4-3615-4d8c-8644-854a479b52ee_20260521_020957/0012.wav,630f36b4-3615-4d8c-8644-854a479b52ee_20260521_020957,ja,16.450,
29,data/realdata/clips/d2d2bbba-86c5-4b9e-ade6-f7c2d3c10a89_20260612_090055/0098.wav,d2d2bbba-86c5-4b9e-ade6-f7c2d3c10a89_20260612_090055,en,18.112,
30,data/realdata/clips/48b12840-2904-44ef-8a50-cd4c1a2c4d02_20260416_031915/0001.wav,48b12840-2904-44ef-8a50-cd4c1a2c4d02_20260416_031915,ja,25.918,
31,data/realdata/clips/6af4b0f0-5195-4943-9697-041bf3ff0719_20260427_143937/0058.wav,6af4b0f0-5195-4943-9697-041bf3ff0719_20260427_143937,en,3.998,
32,data/realdata/clips/bcff33ba-7651-49ad-9010-7c474e61204e_20260519_090401/0002.wav,bcff33ba-7651-49ad-9010-7c474e61204e_20260519_090401,ja,4.958,
33,data/realdata/clips/3c57b860-3202-4ec6-bf41-675f74f74bba_20260501_173606/0064.wav,3c57b860-3202-4ec6-bf41-675f74f74bba_20260501_173606,en,8.593,
34,data/realdata/clips/739f3e82-465f-45f0-9e8a-334dd0a1c7b2_20260507_095054/0023.wav,739f3e82-465f-45f0-9e8a-334dd0a1c7b2_20260507_095054,ja,9.987,
35,data/realdata/clips/fff2e260-36e7-4943-8bfc-cfb66bca1736_20260427_062519/0029.wav,fff2e260-36e7-4943-8bfc-cfb66bca1736_20260427_062519,en,19.007,
36,data/realdata/clips/df0dd382-0df7-4f82-abc2-48d80b0db759_20260626_171011/0013.wav,df0dd382-0df7-4f82-abc2-48d80b0db759_20260626_171011,en,2.020,
37,data/realdata/clips/630f36b4-3615-4d8c-8644-854a479b52ee_20260521_020957/0009.wav,630f36b4-3615-4d8c-8644-854a479b52ee_20260521_020957,ja,6.698,
38,data/realdata/clips/9e8c7c95-9f39-4817-9f12-dbd055559318_20260612_095510/0180.wav,9e8c7c95-9f39-4817-9f12-dbd055559318_20260612_095510,en,12.186,
39,data/realdata/clips/0ceaa927-0fd2-4059-81eb-7efd8a255f5b_20260423_094201/0002.wav,0ceaa927-0fd2-4059-81eb-7efd8a255f5b_20260423_094201,ja,10.511,
40,data/realdata/clips/075c7fdb-0e5d-4653-a084-45071b6cfd36/0032.wav,075c7fdb-0e5d-4653-a084-45071b6cfd36,en,20.371,
41,data/realdata/clips/fff2e260-36e7-4943-8bfc-cfb66bca1736_20260427_062519/0072.wav,fff2e260-36e7-4943-8bfc-cfb66bca1736_20260427_062519,en,4.763,
42,data/realdata/clips/6c683558-afd3-4ca7-a3dd-58baa6746e81_20260428_064730/0000.wav,6c683558-afd3-4ca7-a3dd-58baa6746e81_20260428_064730,ja,6.750,
43,data/realdata/clips/7e539220-a15e-43a9-a455-65df9b8cd5e0_20260609_024642/0017.wav,7e539220-a15e-43a9-a455-65df9b8cd5e0_20260609_024642,en,12.476,
44,data/realdata/clips/0ceaa927-0fd2-4059-81eb-7efd8a255f5b_20260423_094201/0000.wav,0ceaa927-0fd2-4059-81eb-7efd8a255f5b_20260423_094201,ja,8.911,
45,data/realdata/clips/3c57b860-3202-4ec6-bf41-675f74f74bba_20260501_173606/0003.wav,3c57b860-3202-4ec6-bf41-675f74f74bba_20260501_173606,en,21.158,
46,data/realdata/clips/23bd26f9-5910-465d-9deb-7f666cd9d6d6_20260608_104129/0031.wav,23bd26f9-5910-465d-9deb-7f666cd9d6d6_20260608_104129,en,7.837,
47,data/realdata/clips/48b12840-2904-44ef-8a50-cd4c1a2c4d02_20260416_031915/0000.wav,48b12840-2904-44ef-8a50-cd4c1a2c4d02_20260416_031915,ja,3.562,
48,data/realdata/clips/075c7fdb-0e5d-4653-a084-45071b6cfd36/0039.wav,075c7fdb-0e5d-4653-a084-45071b6cfd36,en,9.806,
49,data/realdata/clips/d7985ac9-cc0b-431c-970c-e8646548b138_20260616_071358/0001.wav,d7985ac9-cc0b-431c-970c-e8646548b138_20260616_071358,ja,9.855,
50,data/realdata/clips/ff075c4a-98c3-4e46-8fa0-641a00a52726_20260519_121435/0041.wav,ff075c4a-98c3-4e46-8fa0-641a00a52726_20260519_121435,en,19.702,
