pair_id,wav,winner
pair-001,pair-001.wav,
pair-002,pair-002.wav,
pair-003,pair-003.wav,
pair-004,pair-004.wav,
pair-005,pair-005.wav,
pair-006,pair-006.wav,
pair-007,pair-007.wav,
pair-008,pair-008.wav,
pair-009,pair-009.wav,
pair-010,pair-010.wav,
pair-011,pair-011.wav,
pair-012,pair-012.wav,
pair-013,pair-013.wav,
pair-014,pair-014.wav,
pair-015,pair-015.wav,
pair-016,pair-016.wav,
pair-017,pair-017.wav,
pair-018,pair-018.wav,
pair-019,pair-019.wav,
pair-020,pair-020.wav,
pair-021,pair-021.wav,
pair-022,pair-022.wav,
pair-023,pair-023.wav,
pair-024,pair-024.wav,
pair-025,pair-025.wav,
pair-026,pair-026.wav,
pair-027,pair-027.wav,
pair-028,pair-028.wav,
pair-029,pair-029.wav,
pair-030,pair-030.wav,
pair-031,pair-031.wav,
pair-032,pair-032.wav,
pair-033,pair-033.wav,
pair-034,pair-034.wav,
pair-035,pair-035.wav,
pair-036,pair-036.wav,
pair-037,pair-037.wav,
pair-038,pair-038.wav,
pair-039,pair-039.wav,
pair-040,pair-040.wav,
pair-041,pair-041.wav,
pair-042,pair-042.wav,
pair-043,pair-043.wav,
pair-044,pair-044.wav,
pair-045,pair-045.wav,
pair-046,pair-046.wav,
pair-047,pair-047.wav,
pair-048,pair-048.wav,
pair-049,pair-049.wav,
pair-050,pair-050.wav,
pair-051,pair-051.wav,
pair-052,pair-052.wav,
pair-053,pair-053.wav,
pair-054,pair-054.wav,
pair-055,pair-055.wav,
pair-056,pair-056.wav,
pair-057,pair-057.wav,
pair-058,pair-058.wav,
pair-059,pair-059.wav,
pair-060,pair-060.wav,
pair-061,pair-061.wav,
pair-062,pair-062.wav,
pair-063,pair-063.wav,
pair-064,pair-064.wav,
pair-065,pair-065.wav,
pair-066,pair-066.wav,
pair-067,pair-067.wav,
pair-068,pair-068.wav,
pair-069,pair-069.wav,
pair-070,pair-070.wav,
pair-071,pair-071.wav,
pair-072,pair-072.wav,
pair-073,pair-073.wav,
pair-074,pair-074.wav,
pair-075,pair-075.wav,
pair-076,pair-076.wav,
pair-077,pair-077.wav,
pair-078,pair-078.wav,
pair-079,pair-079.wav,
pair-080,pair-080.wav,
pair-081,pair-081.wav,
pair-082,pair-082.wav,
pair-083,pair-083.wav,
pair-084,pair-084.wav,
pair-085,pair-085.wav,
pair-086,pair-086.wav,
pair-087,pair-087.wav,
pair-088,pair-088.wav,
pair-089,pair-089.wav,
pair-090,pair-090.wav,
pair-091,pair-091.wav,
pair-092,pair-092.wav,
pair-093,pair-093.wav,
pair-094,pair-094.wav,
pair-095,pair-095.wav,
pair-096,pair-096.wav,
pair-097,pair-097.wav,
pair-098,pair-098.wav,
pair-099,pair-099.wav,
pair-100,pair-100.wav,
